,date,symbol,type,time_enter,px_enter,time_exit,px_exit,pnl
1267,2018-08-23 00:00:00,i,long,2018-08-23 10:00:00,491.0,2018-08-23 13:45:00,491.5,-100.0
1268,2018-08-23 00:00:00,i,short,2018-08-23 15:00:00,487.0,2018-08-23 23:00:00,489.0,-600.0
1269,2018-08-23 00:00:00,i,long,2018-08-23 23:00:00,489.0,2018-08-24 13:45:00,490.0,0.0
1270,2018-08-27 00:00:00,i,short,2018-08-27 10:00:00,480.5,2018-08-27 13:45:00,478.5,200.0
1271,2018-08-27 00:00:00,i,long,2018-08-27 22:30:00,482.0,2018-08-28 13:45:00,483.5,100.0
1272,2018-08-29 00:00:00,i,short,2018-08-29 15:00:00,480.0,2018-08-30 10:45:00,480.0,-200.0
1273,2018-08-30 00:00:00,i,long,2018-08-30 10:45:00,480.0,2018-08-30 13:45:00,481.0,0.0
1274,2018-08-31 00:00:00,i,short,2018-08-31 13:45:00,487.0,2018-08-31 14:15:00,488.0,-400.0
1275,2018-08-31 00:00:00,i,long,2018-08-31 14:15:00,488.0,2018-08-31 15:00:00,484.5,-900.0
1276,2018-08-31 00:00:00,i,short,2018-08-31 15:00:00,484.5,2018-09-03 10:45:00,481.5,400.0
1277,2018-09-03 00:00:00,i,long,2018-09-03 21:30:00,485.0,2018-09-04 10:45:00,482.0,-800.0
1278,2018-09-04 00:00:00,i,short,2018-09-04 10:45:00,482.0,2018-09-04 13:45:00,483.0,-400.0
1279,2018-09-04 00:00:00,i,long,2018-09-04 14:15:00,485.0,2018-09-05 10:00:00,486.5,100.0
1280,2018-09-05 00:00:00,i,short,2018-09-05 11:15:00,485.5,2018-09-05 14:15:00,486.0,-300.0
1281,2018-09-05 00:00:00,i,long,2018-09-05 21:30:00,492.0,2018-09-06 10:45:00,494.0,200.0
1282,2018-09-07 00:00:00,i,short,2018-09-07 10:45:00,501.0,2018-09-07 13:45:00,500.0,-0.0
1283,2018-09-12 00:00:00,i,long,2018-09-12 13:45:00,490.0,2018-09-12 23:30:00,496.0,1000.0
1284,2018-09-13 00:00:00,i,short,2018-09-13 23:30:00,500.0,2018-09-14 10:45:00,503.0,-800.0
1285,2018-09-14 00:00:00,i,long,2018-09-14 10:45:00,503.0,2018-09-14 11:15:00,500.5,-350.0
1286,2018-09-14 00:00:00,i,short,2018-09-14 11:15:00,500.5,2018-09-14 13:45:00,504.5,-500.0
1287,2018-09-14 00:00:00,i,long,2018-09-14 13:45:00,504.5,2018-09-14 15:00:00,501.5,-400.0
1288,2018-09-14 00:00:00,i,short,2018-09-14 15:00:00,501.5,2018-09-14 23:30:00,505.0,-450.0
1289,2018-09-14 00:00:00,i,long,2018-09-14 23:30:00,505.0,2018-09-17 09:30:00,502.5,-350.0
1290,2018-09-17 00:00:00,i,short,2018-09-17 09:30:00,502.5,2018-09-17 13:45:00,500.0,150.0
1291,2018-09-17 00:00:00,i,long,2018-09-17 22:00:00,503.0,2018-09-18 09:30:00,500.5,-350.0
1292,2018-09-18 00:00:00,i,short,2018-09-18 09:30:00,500.5,2018-09-18 10:45:00,504.0,-450.0
1293,2018-09-18 00:00:00,i,long,2018-09-18 10:45:00,504.0,2018-09-18 13:45:00,505.0,0.0
1294,2018-09-19 00:00:00,i,short,2018-09-19 11:15:00,505.5,2018-09-19 14:15:00,506.0,-150.0
1295,2018-09-20 00:00:00,i,long,2018-09-20 23:30:00,503.0,2018-09-21 10:45:00,501.0,-300.0
1296,2018-09-21 00:00:00,i,short,2018-09-21 10:45:00,501.0,2018-09-21 13:45:00,502.0,-200.0
1297,2018-09-25 00:00:00,i,long,2018-09-25 21:30:00,498.0,2018-09-26 10:45:00,504.0,1000.0
1298,2018-09-27 00:00:00,i,short,2018-09-27 10:00:00,502.5,2018-09-27 13:45:00,501.5,-0.0
